E_low_eV,E_high_eV,E_mid_eV,flux_mean,flux_std
1.0000000000e-03,1.0594065571e-03,1.0292747724e-03,2.4552813569e-06,9.1915748895e-07
1.0594065571e-03,1.1223422533e-03,1.0904204430e-03,2.6207555254e-06,7.2956669186e-07
1.1223422533e-03,1.1890167424e-03,1.1551985673e-03,2.7471844451e-06,9.7379059211e-07
1.1890167424e-03,1.2596521335e-03,1.2238249370e-03,4.0232110839e-06,1.3527853878e-06
1.2596521335e-03,1.3344837299e-03,1.2965281630e-03,4.5060706746e-06,1.1226098922e-06
1.3344837299e-03,1.4137608138e-03,1.3735504374e-03,6.0777194447e-06,1.5974321261e-06
1.4137608138e-03,1.4977474763e-03,1.4551483399e-03,4.1132005722e-06,1.1526591277e-06
1.4977474763e-03,1.5867234973e-03,1.5415936928e-03,5.0920987353e-06,1.3771048948e-06
1.5867234973e-03,1.6809852774e-03,1.6331744666e-03,7.2945720236e-06,2.3394583880e-06
1.6809852774e-03,1.7808468253e-03,1.7301957388e-03,5.9490873315e-06,1.9014020797e-06
1.7808468253e-03,1.8866408040e-03,1.8329807108e-03,7.6239235407e-06,1.8664733466e-06
1.8866408040e-03,1.9987196387e-03,1.9418717841e-03,9.4122573612e-06,2.5521523474e-06
1.9987196387e-03,2.1174566910e-03,2.0572317012e-03,7.5453323993e-06,1.6419945404e-06
2.1174566910e-03,2.2432475029e-03,2.1794447538e-03,1.3837764864e-05,2.3068458825e-06
2.2432475029e-03,2.3765111138e-03,2.3089180630e-03,1.4436281329e-05,2.7789334698e-06
2.3765111138e-03,2.5176914570e-03,2.4460829358e-03,1.2599527454e-05,2.2938929508e-06
2.5176914570e-03,2.6672588384e-03,2.5913963014e-03,1.2818935302e-05,2.5101463597e-06
2.6672588384e-03,2.8257115029e-03,2.7453422338e-03,2.3644435392e-05,3.6684189840e-06
2.8257115029e-03,2.9935772947e-03,2.9084335641e-03,2.1089101109e-05,3.4750584144e-06
2.9935772947e-03,3.1714154153e-03,3.0812135887e-03,1.8403111837e-05,2.9369958577e-06
3.1714154153e-03,3.3598182863e-03,3.2642578798e-03,2.1102314753e-05,3.2918527949e-06
3.3598182863e-03,3.5594135232e-03,3.4581762020e-03,2.8004108368e-05,3.9798930221e-06
3.5594135232e-03,3.7708660260e-03,3.6636145440e-03,3.0570223174e-05,3.9656286140e-06
3.7708660260e-03,3.9948801940e-03,3.8812572707e-03,3.4216439714e-05,4.3007318654e-06
3.9948801940e-03,4.2322022724e-03,4.1118294024e-03,3.7192075351e-05,4.3812925755e-06
4.2322022724e-03,4.4836228384e-03,4.3560990307e-03,3.6155838861e-05,3.5732135459e-06
4.4836228384e-03,4.7499794347e-03,4.6148798766e-03,4.8790845975e-05,5.7590461250e-06
4.7499794347e-03,5.0321593593e-03,4.8890340016e-03,5.2060663212e-05,5.7618782353e-06
5.0321593593e-03,5.3311026217e-03,5.1794746792e-03,6.2660239882e-05,6.4135699609e-06
5.3311026217e-03,5.6478050741e-03,5.4871694376e-03,6.9461184524e-05,6.6974064922e-06
5.6478050741e-03,5.9833217288e-03,5.8131432822e-03,6.0029171309e-05,4.7383025851e-06
5.9833217288e-03,6.3387702728e-03,6.1584821107e-03,8.4222103718e-05,7.1139962614e-06
6.3387702728e-03,6.7153347911e-03,6.5243363299e-03,8.6025038412e-05,7.5151963099e-06
6.7153347911e-03,7.1142697110e-03,6.9119246888e-03,1.0019043455e-04,7.5834490691e-06
7.1142697110e-03,7.5369039809e-03,7.3225383376e-03,9.7567326856e-05,8.6754628091e-06
7.5369039809e-03,7.9846454977e-03,7.7575451296e-03,1.1287793975e-04,9.2261085626e-06
7.9846454977e-03,8.4589857966e-03,8.2183941775e-03,1.1899134520e-04,9.2059165372e-06
8.4589857966e-03,8.9615050195e-03,8.7066206806e-03,1.3524838227e-04,9.8434968406e-06
8.9615050195e-03,9.4938771793e-03,9.2238510394e-03,1.6568363913e-04,1.0187915324e-05
9.4938771793e-03,1.0057875736e-02,9.7718082730e-03,1.8828318732e-04,1.1887748905e-05
1.0057875736e-02,1.0655379506e-02,1.0352317759e-02,1.9626500953e-04,1.0098009881e-05
1.0655379506e-02,1.1288378917e-02,1.0967313316e-02,2.1090414957e-04,1.1405290559e-05
1.1288378917e-02,1.1958982644e-02,1.1618843641e-02,2.1549096249e-04,1.1929393666e-05
1.1958982644e-02,1.2669424629e-02,1.2309079139e-02,2.4622242771e-04,1.2785975938e-05
1.2669424629e-02,1.3422071527e-02,1.3040319152e-02,2.5227272665e-04,1.3926149727e-05
1.3422071527e-02,1.4219430586e-02,1.3814999616e-02,2.8245521436e-04,1.4204431927e-05
1.4219430586e-02,1.5064158001e-02,1.4635701180e-02,3.0344210343e-04,1.5567736125e-05
1.5064158001e-02,1.5959067764e-02,1.5505157798e-02,3.4567530916e-04,1.5523069698e-05
1.5959067764e-02,1.6907141035e-02,1.6426265841e-02,3.7702238740e-04,1.4287417758e-05
1.6907141035e-02,1.7911536074e-02,1.7402093741e-02,4.3829189983e-04,1.8288495091e-05
1.7911536074e-02,1.8975598765e-02,1.8435892216e-02,4.3425900445e-04,1.9492094714e-05
1.8975598765e-02,2.0102873757e-02,1.9531105100e-02,4.8987637146e-04,1.9209788859e-05
2.0102873757e-02,2.1297116275e-02,2.0691380811e-02,5.1779218455e-04,1.9374815452e-05
2.1297116275e-02,2.2562304630e-02,2.1920584507e-02,5.9924343561e-04,2.8334931249e-05
2.2562304630e-02,2.3902653468e-02,2.3222810963e-02,6.0301551615e-04,2.1485506321e-05
2.3902653468e-02,2.5322627817e-02,2.4602398209e-02,6.8727238028e-04,2.3349529658e-05
2.5322627817e-02,2.6826957953e-02,2.6063941983e-02,7.5198294589e-04,2.7529302366e-05
2.6826957953e-02,2.8420655163e-02,2.7612311041e-02,7.9323941745e-04,2.7867524126e-05
2.8420655163e-02,3.0109028437e-02,2.9252663374e-02,8.2953717322e-04,2.3990084223e-05
3.0109028437e-02,3.1897702155e-02,3.0990463392e-02,8.7208303699e-04,2.8058099254e-05
3.1897702155e-02,3.3792634820e-02,3.2831500126e-02,9.3360114986e-04,2.8419138012e-05
3.3792634820e-02,3.5800138910e-02,3.4781906513e-02,9.9664830887e-04,3.4759298392e-05
3.5800138910e-02,3.7926901907e-02,3.6848179829e-02,9.8375677272e-04,3.2985863840e-05
3.7926901907e-02,4.0180008572e-02,3.9037203329e-02,1.1179227017e-03,3.5014507829e-05
4.0180008572e-02,4.2566964546e-02,4.1356269178e-02,1.2124638955e-03,3.5015366127e-05
4.2566964546e-02,4.5095721357e-02,4.3813102745e-02,1.2465839510e-03,3.6474025709e-05
4.5095721357e-02,4.7774702903e-02,4.6415888336e-02,1.2365606164e-03,3.4786946451e-05
4.7774702903e-02,5.0612833520e-02,4.9173296458e-02,1.2453758771e-03,3.1208150396e-05
5.0612833520e-02,5.3619567706e-02,5.2094512703e-02,1.3334741476e-03,3.6923326941e-05
5.3619567706e-02,5.6804921617e-02,5.5189268347e-02,1.3436879250e-03,3.7773627330e-05
5.6804921617e-02,6.0179506438e-02,5.8467872769e-02,1.4568084945e-03,3.7347306238e-05
6.0179506438e-02,6.3754563725e-02,6.1941247793e-02,1.4374365406e-03,3.9444196497e-05
6.3754563725e-02,6.7542002856e-02,6.5620964068e-02,1.4467275286e-03,3.5638601601e-05
6.7542002856e-02,7.1554440707e-02,6.9519279618e-02,1.5280443216e-03,3.7356642403e-05
7.1554440707e-02,7.5805243676e-02,7.3649180673e-02,1.5107033188e-03,3.5927893604e-05
7.5805243676e-02,8.0308572214e-02,7.8024424932e-02,1.5375042077e-03,3.6243061391e-05
8.0308572214e-02,8.5079427996e-02,8.2659587388e-02,1.5754630282e-03,3.7078044134e-05
8.5079427996e-02,9.0133703895e-02,8.7570108888e-02,1.5588508897e-03,3.8408236284e-05
9.0133703895e-02,9.5488236924e-02,9.2772347563e-02,1.5353876841e-03,3.6278568304e-05
9.5488236924e-02,1.0116086432e-01,9.8283633328e-02,1.5424067406e-03,3.8351955055e-05
1.0116086432e-01,1.0717048299e-01,1.0412232560e-01,1.5294886037e-03,4.2302797609e-05
1.0717048299e-01,1.1353711241e-01,1.1030787449e-01,1.5038470265e-03,3.7420760731e-05
1.1353711241e-01,1.2028196136e-01,1.1686088553e-01,1.4560464167e-03,3.3849360015e-05
1.2028196136e-01,1.2742749857e-01,1.2380318841e-01,1.5150829437e-03,3.7739496071e-05
1.2742749857e-01,1.3499752754e-01,1.3115790959e-01,1.4456705383e-03,3.7179554045e-05
1.3499752754e-01,1.4301726587e-01,1.3894954944e-01,1.4726564539e-03,3.3790865389e-05
1.4301726587e-01,1.5151342925e-01,1.4720406378e-01,1.5029683107e-03,3.6367712378e-05
1.5151342925e-01,1.6051432044e-01,1.5594895041e-01,1.4326468032e-03,3.7259356978e-05
1.6051432044e-01,1.7004992358e-01,1.6521334064e-01,1.4243160365e-03,3.9423599447e-05
1.7004992358e-01,1.8015200408e-01,1.7502809639e-01,1.4611463760e-03,3.2846204812e-05
1.8015200408e-01,1.9085421440e-01,1.8542591300e-01,1.4822049012e-03,4.1130811056e-05
