E_low_eV,E_high_eV,E_mid_eV,flux_mean,flux_std
1.0000000000e-03,1.0594065571e-03,1.0292747724e-03,2.3206476622e-06,8.0794340920e-07
1.0594065571e-03,1.1223422533e-03,1.0904204430e-03,1.0683400846e-06,4.7192263464e-07
1.1223422533e-03,1.1890167424e-03,1.1551985673e-03,1.9259094751e-06,5.8418233504e-07
1.1890167424e-03,1.2596521335e-03,1.2238249370e-03,2.5063001736e-06,8.8136802565e-07
1.2596521335e-03,1.3344837299e-03,1.2965281630e-03,2.5797297750e-06,9.8884870764e-07
1.3344837299e-03,1.4137608138e-03,1.3735504374e-03,5.6306351982e-06,1.6811356482e-06
1.4137608138e-03,1.4977474763e-03,1.4551483399e-03,8.3994227663e-06,1.8770330502e-06
1.4977474763e-03,1.5867234973e-03,1.5415936928e-03,8.1001170642e-06,1.5613787848e-06
1.5867234973e-03,1.6809852774e-03,1.6331744666e-03,6.7123114600e-06,1.4903777567e-06
1.6809852774e-03,1.7808468253e-03,1.7301957388e-03,8.2055267194e-06,1.9039352836e-06
1.7808468253e-03,1.8866408040e-03,1.8329807108e-03,6.3585489835e-06,1.5709167740e-06
1.8866408040e-03,1.9987196387e-03,1.9418717841e-03,1.0390271779e-05,2.4707029011e-06
1.9987196387e-03,2.1174566910e-03,2.0572317012e-03,9.5320388085e-06,1.8111904544e-06
2.1174566910e-03,2.2432475029e-03,2.1794447538e-03,8.0021986693e-06,1.8100707339e-06
2.2432475029e-03,2.3765111138e-03,2.3089180630e-03,8.1967020206e-06,1.6259468034e-06
2.3765111138e-03,2.5176914570e-03,2.4460829358e-03,1.6507402412e-05,2.9883584181e-06
2.5176914570e-03,2.6672588384e-03,2.5913963014e-03,1.3981157756e-05,2.7726013450e-06
2.6672588384e-03,2.8257115029e-03,2.7453422338e-03,1.5249595251e-05,2.7378205611e-06
2.8257115029e-03,2.9935772947e-03,2.9084335641e-03,1.7874378066e-05,3.2144875975e-06
2.9935772947e-03,3.1714154153e-03,3.0812135887e-03,2.2351506668e-05,3.7022317619e-06
3.1714154153e-03,3.3598182863e-03,3.2642578798e-03,3.4061945306e-05,4.9545073126e-06
3.3598182863e-03,3.5594135232e-03,3.4581762020e-03,3.0400032909e-05,3.4535734346e-06
3.5594135232e-03,3.7708660260e-03,3.6636145440e-03,2.8197417510e-05,4.1358615368e-06
3.7708660260e-03,3.9948801940e-03,3.8812572707e-03,4.4256081445e-05,5.4484276436e-06
3.9948801940e-03,4.2322022724e-03,4.1118294024e-03,4.2319604903e-05,5.3583529168e-06
4.2322022724e-03,4.4836228384e-03,4.3560990307e-03,3.5279334927e-05,4.1227735556e-06
4.4836228384e-03,4.7499794347e-03,4.6148798766e-03,4.2905704269e-05,4.6492546458e-06
4.7499794347e-03,5.0321593593e-03,4.8890340016e-03,6.0018007959e-05,6.1690365589e-06
5.0321593593e-03,5.3311026217e-03,5.1794746792e-03,6.3038786226e-05,6.7466032243e-06
5.3311026217e-03,5.6478050741e-03,5.4871694376e-03,6.2884920454e-05,6.2087666400e-06
5.6478050741e-03,5.9833217288e-03,5.8131432822e-03,7.4899776379e-05,6.8085329000e-06
5.9833217288e-03,6.3387702728e-03,6.1584821107e-03,8.0064405183e-05,6.8101202506e-06
6.3387702728e-03,6.7153347911e-03,6.5243363299e-03,8.9015263739e-05,7.2381949908e-06
6.7153347911e-03,7.1142697110e-03,6.9119246888e-03,1.0491879697e-04,7.4949916706e-06
7.1142697110e-03,7.5369039809e-03,7.3225383376e-03,9.7277957933e-05,6.5400135077e-06
7.5369039809e-03,7.9846454977e-03,7.7575451296e-03,1.1377395385e-04,7.4246667429e-06
7.9846454977e-03,8.4589857966e-03,8.2183941775e-03,1.2648335617e-04,9.3662939779e-06
8.4589857966e-03,8.9615050195e-03,8.7066206806e-03,1.5185929824e-04,8.3444732934e-06
8.9615050195e-03,9.4938771793e-03,9.2238510394e-03,1.4272868503e-04,1.1526911105e-05
9.4938771793e-03,1.0057875736e-02,9.7718082730e-03,1.7391540356e-04,1.2239058117e-05
1.0057875736e-02,1.0655379506e-02,1.0352317759e-02,1.9471448457e-04,1.1992945715e-05
1.0655379506e-02,1.1288378917e-02,1.0967313316e-02,2.1250606683e-04,1.1574033283e-05
1.1288378917e-02,1.1958982644e-02,1.1618843641e-02,2.1983617393e-04,1.3448277395e-05
1.1958982644e-02,1.2669424629e-02,1.2309079139e-02,2.4652717066e-04,1.3935377942e-05
1.2669424629e-02,1.3422071527e-02,1.3040319152e-02,2.6041771808e-04,1.3902979004e-05
1.3422071527e-02,1.4219430586e-02,1.3814999616e-02,2.9725195592e-04,1.5272435635e-05
1.4219430586e-02,1.5064158001e-02,1.4635701180e-02,3.5658163391e-04,1.6675541516e-05
1.5064158001e-02,1.5959067764e-02,1.5505157798e-02,3.7684209520e-04,1.7900962594e-05
1.5959067764e-02,1.6907141035e-02,1.6426265841e-02,3.8360145074e-04,1.7981923634e-05
1.6907141035e-02,1.7911536074e-02,1.7402093741e-02,4.2047667782e-04,1.5858914266e-05
1.7911536074e-02,1.8975598765e-02,1.8435892216e-02,4.6064026705e-04,1.9332088569e-05
1.8975598765e-02,2.0102873757e-02,1.9531105100e-02,5.1623248034e-04,2.2161845774e-05
2.0102873757e-02,2.1297116275e-02,2.0691380811e-02,5.7443503541e-04,2.2545094472e-05
2.1297116275e-02,2.2562304630e-02,2.1920584507e-02,6.2635442707e-04,2.2456214878e-05
2.2562304630e-02,2.3902653468e-02,2.3222810963e-02,6.7136025238e-04,2.4116482696e-05
2.3902653468e-02,2.5322627817e-02,2.4602398209e-02,6.6002651629e-04,2.2638508950e-05
2.5322627817e-02,2.6826957953e-02,2.6063941983e-02,7.1137102919e-04,2.3704999436e-05
2.6826957953e-02,2.8420655163e-02,2.7612311041e-02,8.1727867687e-04,2.7038821026e-05
2.8420655163e-02,3.0109028437e-02,2.9252663374e-02,8.1738430890e-04,2.6503910982e-05
3.0109028437e-02,3.1897702155e-02,3.0990463392e-02,8.6127455928e-04,2.7285146168e-05
3.1897702155e-02,3.3792634820e-02,3.2831500126e-02,9.2441415848e-04,2.7746629067e-05
3.3792634820e-02,3.5800138910e-02,3.4781906513e-02,1.0360132371e-03,3.7737262920e-05
3.5800138910e-02,3.7926901907e-02,3.6848179829e-02,1.0295685795e-03,3.5313785719e-05
3.7926901907e-02,4.0180008572e-02,3.9037203329e-02,1.1056426745e-03,2.9994049204e-05
4.0180008572e-02,4.2566964546e-02,4.1356269178e-02,1.1472962065e-03,3.0658227759e-05
4.2566964546e-02,4.5095721357e-02,4.3813102745e-02,1.2546440916e-03,3.4848799723e-05
4.5095721357e-02,4.7774702903e-02,4.6415888336e-02,1.2023410615e-03,3.2268299304e-05
